Địa phương,Cấp dữ liệu,Năm,Trạng thái,Doanh thu du lịch lữ hành (Tỷ đồng)
Kon Tum,Tỉnh/thành,2020,Chính thức,1.5
Kon Tum,Tỉnh/thành,2021,Chính thức,0.86
Kon Tum,Tỉnh/thành,2022,Chính thức,6.07
Kon Tum,Tỉnh/thành,2023,Chính thức,2.71
Kon Tum,Tỉnh/thành,2024,Sơ bộ,3.79
Gia Lai,Tỉnh/thành,2015,Chính thức,26.2
Gia Lai,Tỉnh/thành,2016,Chính thức,25.6
Gia Lai,Tỉnh/thành,2017,Chính thức,28.4
Gia Lai,Tỉnh/thành,2018,Chính thức,30.8
Gia Lai,Tỉnh/thành,2019,Chính thức,33.2
Gia Lai,Tỉnh/thành,2020,Chính thức,9.1
Gia Lai,Tỉnh/thành,2021,Chính thức,10.3
Gia Lai,Tỉnh/thành,2022,Chính thức,34.95
Gia Lai,Tỉnh/thành,2023,Chính thức,56.67
Gia Lai,Tỉnh/thành,2024,Sơ bộ,94.93
Đắk Lắk,Tỉnh/thành,2015,Chính thức,31.8
Đắk Lắk,Tỉnh/thành,2016,Chính thức,37.8
Đắk Lắk,Tỉnh/thành,2017,Chính thức,43.4
Đắk Lắk,Tỉnh/thành,2018,Chính thức,46.5
Đắk Lắk,Tỉnh/thành,2019,Chính thức,53.4
Đắk Lắk,Tỉnh/thành,2020,Chính thức,34.4
Đắk Lắk,Tỉnh/thành,2021,Chính thức,22.26
Đắk Lắk,Tỉnh/thành,2022,Chính thức,51
Đắk Lắk,Tỉnh/thành,2023,Chính thức,64.87
Đắk Lắk,Tỉnh/thành,2024,Sơ bộ,102.48
Đắk Nông,Tỉnh/thành,2015,Chính thức,1
Đắk Nông,Tỉnh/thành,2016,Chính thức,0.6
Đắk Nông,Tỉnh/thành,2017,Chính thức,0.7
Đắk Nông,Tỉnh/thành,2018,Chính thức,0.7
Đắk Nông,Tỉnh/thành,2019,Chính thức,0.7
Đắk Nông,Tỉnh/thành,2020,Chính thức,0.3
Đắk Nông,Tỉnh/thành,2021,Chính thức,1.2
Đắk Nông,Tỉnh/thành,2022,Chính thức,9.84
Đắk Nông,Tỉnh/thành,2023,Chính thức,1.65
Đắk Nông,Tỉnh/thành,2024,Sơ bộ,1.53
Lâm Đồng,Tỉnh/thành,2015,Chính thức,47.2
Lâm Đồng,Tỉnh/thành,2016,Chính thức,39.1
Lâm Đồng,Tỉnh/thành,2017,Chính thức,44.9
Lâm Đồng,Tỉnh/thành,2018,Chính thức,47.3
Lâm Đồng,Tỉnh/thành,2019,Chính thức,54.6
Lâm Đồng,Tỉnh/thành,2020,Chính thức,17.4
Lâm Đồng,Tỉnh/thành,2021,Chính thức,16.39
Lâm Đồng,Tỉnh/thành,2022,Chính thức,55.77
Lâm Đồng,Tỉnh/thành,2023,Chính thức,62.67
Lâm Đồng,Tỉnh/thành,2024,Sơ bộ,70.96
Đông Nam Bộ,Vùng,2015,Chính thức,18797.1
Đông Nam Bộ,Vùng,2016,Chính thức,19560.4
Đông Nam Bộ,Vùng,2017,Chính thức,22094.2
Đông Nam Bộ,Vùng,2018,Chính thức,24773.7
Đông Nam Bộ,Vùng,2019,Chính thức,27468.7
Đông Nam Bộ,Vùng,2020,Chính thức,8264.8
Đông Nam Bộ,Vùng,2021,Chính thức,3501.92
Đông Nam Bộ,Vùng,2022,Chính thức,19060.62
Đông Nam Bộ,Vùng,2023,Chính thức,26502.84
Đông Nam Bộ,Vùng,2024,Sơ bộ,32412.26
Bình Phước,Tỉnh/thành,2015,Chính thức,5.5
Bình Phước,Tỉnh/thành,2016,Chính thức,12.4
Bình Phước,Tỉnh/thành,2017,Chính thức,13.7
Bình Phước,Tỉnh/thành,2018,Chính thức,13.9
Bình Phước,Tỉnh/thành,2019,Chính thức,18.2
Bình Phước,Tỉnh/thành,2020,Chính thức,3.4
Bình Phước,Tỉnh/thành,2021,Chính thức,2.81
Bình Phước,Tỉnh/thành,2022,Chính thức,9.98
Bình Phước,Tỉnh/thành,2023,Chính thức,15.72
Bình Phước,Tỉnh/thành,2024,Sơ bộ,25.82
Tây Ninh,Tỉnh/thành,2015,Chính thức,17.9
Tây Ninh,Tỉnh/thành,2016,Chính thức,19
Tây Ninh,Tỉnh/thành,2017,Chính thức,20.2
Tây Ninh,Tỉnh/thành,2018,Chính thức,20.8
Tây Ninh,Tỉnh/thành,2019,Chính thức,22.4
Tây Ninh,Tỉnh/thành,2020,Chính thức,9.4
Tây Ninh,Tỉnh/thành,2021,Chính thức,4.42
Tây Ninh,Tỉnh/thành,2022,Chính thức,7.38
Tây Ninh,Tỉnh/thành,2023,Chính thức,16.1
Tây Ninh,Tỉnh/thành,2024,Sơ bộ,19.02
Bình Dương,Tỉnh/thành,2015,Chính thức,26.7
Bình Dương,Tỉnh/thành,2016,Chính thức,77.3
Bình Dương,Tỉnh/thành,2017,Chính thức,85.9
Bình Dương,Tỉnh/thành,2018,Chính thức,101.2
Bình Dương,Tỉnh/thành,2019,Chính thức,126.8
Bình Dương,Tỉnh/thành,2020,Chính thức,45.8
Bình Dương,Tỉnh/thành,2021,Chính thức,35.59
Bình Dương,Tỉnh/thành,2022,Chính thức,287.59
Bình Dương,Tỉnh/thành,2023,Chính thức,345
Bình Dương,Tỉnh/thành,2024,Sơ bộ,400
Đồng Nai,Tỉnh/thành,2015,Chính thức,73.1
Đồng Nai,Tỉnh/thành,2016,Chính thức,91.4
Đồng Nai,Tỉnh/thành,2017,Chính thức,99.2
Đồng Nai,Tỉnh/thành,2018,Chính thức,104.5
Đồng Nai,Tỉnh/thành,2019,Chính thức,113.5
Đồng Nai,Tỉnh/thành,2020,Chính thức,52.8
Đồng Nai,Tỉnh/thành,2021,Chính thức,21.59
Đồng Nai,Tỉnh/thành,2022,Chính thức,41.33
Đồng Nai,Tỉnh/thành,2023,Chính thức,218
Đồng Nai,Tỉnh/thành,2024,Sơ bộ,272.1
Bà Rịa - Vũng Tàu,Tỉnh/thành,2015,Chính thức,217.6
Bà Rịa - Vũng Tàu,Tỉnh/thành,2016,Chính thức,263.3
Bà Rịa - Vũng Tàu,Tỉnh/thành,2017,Chính thức,294.7
Bà Rịa - Vũng Tàu,Tỉnh/thành,2018,Chính thức,314.4
Bà Rịa - Vũng Tàu,Tỉnh/thành,2019,Chính thức,353.3
Bà Rịa - Vũng Tàu,Tỉnh/thành,2020,Chính thức,156.7
Bà Rịa - Vũng Tàu,Tỉnh/thành,2021,Chính thức,86.89
Bà Rịa - Vũng Tàu,Tỉnh/thành,2022,Chính thức,174.33
Bà Rịa - Vũng Tàu,Tỉnh/thành,2023,Chính thức,328.02
Bà Rịa - Vũng Tàu,Tỉnh/thành,2024,Sơ bộ,390.32
TP. Hồ Chí Minh,Tỉnh/thành,2015,Chính thức,18456.3
TP. Hồ Chí Minh,Tỉnh/thành,2016,Chính thức,19097
TP. Hồ Chí Minh,Tỉnh/thành,2017,Chính thức,21580.5
TP. Hồ Chí Minh,Tỉnh/thành,2018,Chính thức,24218.9
TP. Hồ Chí Minh,Tỉnh/thành,2019,Chính thức,26834.5
TP. Hồ Chí Minh,Tỉnh/thành,2020,Chính thức,7996.7
TP. Hồ Chí Minh,Tỉnh/thành,2021,Chính thức,3350.62
TP. Hồ Chí Minh,Tỉnh/thành,2022,Chính thức,18540
TP. Hồ Chí Minh,Tỉnh/thành,2023,Chính thức,25580
TP. Hồ Chí Minh,Tỉnh/thành,2024,Sơ bộ,31305
Đồng bằng sông Cửu Long,Vùng,2015,Chính thức,512.4
Đồng bằng sông Cửu Long,Vùng,2016,Chính thức,737.5
Đồng bằng sông Cửu Long,Vùng,2017,Chính thức,824.8
Đồng bằng sông Cửu Long,Vùng,2018,Chính thức,902.7
Đồng bằng sông Cửu Long,Vùng,2019,Chính thức,1000.8
Đồng bằng sông Cửu Long,Vùng,2020,Chính thức,457.7
Đồng bằng sông Cửu Long,Vùng,2021,Chính thức,314.09
Đồng bằng sông Cửu Long,Vùng,2022,Chính thức,1891.56
Đồng bằng sông Cửu Long,Vùng,2023,Chính thức,2328.85
Đồng bằng sông Cửu Long,Vùng,2024,Sơ bộ,2691.64
Long An,Tỉnh/thành,2015,Chính thức,14
Long An,Tỉnh/thành,2016,Chính thức,33.4
Long An,Tỉnh/thành,2017,Chính thức,35.5
Long An,Tỉnh/thành,2018,Chính thức,38.1
Long An,Tỉnh/thành,2019,Chính thức,39.5
Long An,Tỉnh/thành,2020,Chính thức,21.9
Long An,Tỉnh/thành,2021,Chính thức,16.46
Long An,Tỉnh/thành,2022,Chính thức,48.85
Long An,Tỉnh/thành,2023,Chính thức,86.74
Long An,Tỉnh/thành,2024,Sơ bộ,92.62
Tiền Giang,Tỉnh/thành,2015,Chính thức,61.4
Tiền Giang,Tỉnh/thành,2016,Chính thức,98.4
Tiền Giang,Tỉnh/thành,2017,Chính thức,107.5
Tiền Giang,Tỉnh/thành,2018,Chính thức,115.1
Tiền Giang,Tỉnh/thành,2019,Chính thức,127.1
Tiền Giang,Tỉnh/thành,2020,Chính thức,33.1
Tiền Giang,Tỉnh/thành,2021,Chính thức,6.86
Tiền Giang,Tỉnh/thành,2022,Chính thức,131
Tiền Giang,Tỉnh/thành,2023,Chính thức,181.15
Tiền Giang,Tỉnh/thành,2024,Sơ bộ,207.72
Bến Tre,Tỉnh/thành,2015,Chính thức,50.5
Bến Tre,Tỉnh/thành,2016,Chính thức,57.4
Bến Tre,Tỉnh/thành,2017,Chính thức,60.9
Bến Tre,Tỉnh/thành,2018,Chính thức,65
Bến Tre,Tỉnh/thành,2019,Chính thức,72.2
Bến Tre,Tỉnh/thành,2020,Chính thức,45.1
Bến Tre,Tỉnh/thành,2021,Chính thức,24.23
Bến Tre,Tỉnh/thành,2022,Chính thức,74
Bến Tre,Tỉnh/thành,2023,Chính thức,116.59
Bến Tre,Tỉnh/thành,2024,Sơ bộ,135.96
Trà Vinh,Tỉnh/thành,2015,Chính thức,18.4
Trà Vinh,Tỉnh/thành,2016,Chính thức,21.6
Trà Vinh,Tỉnh/thành,2017,Chính thức,22.6
Trà Vinh,Tỉnh/thành,2018,Chính thức,23.9
Trà Vinh,Tỉnh/thành,2019,Chính thức,27.6
Trà Vinh,Tỉnh/thành,2020,Chính thức,16.1
Trà Vinh,Tỉnh/thành,2021,Chính thức,13.87
Trà Vinh,Tỉnh/thành,2022,Chính thức,30.85
Trà Vinh,Tỉnh/thành,2023,Chính thức,46.8
Trà Vinh,Tỉnh/thành,2024,Sơ bộ,49.09
Vĩnh Long,Tỉnh/thành,2015,Chính thức,29.1
Vĩnh Long,Tỉnh/thành,2016,Chính thức,36.7
Vĩnh Long,Tỉnh/thành,2017,Chính thức,38
Vĩnh Long,Tỉnh/thành,2018,Chính thức,40.3
Vĩnh Long,Tỉnh/thành,2019,Chính thức,43.5
Vĩnh Long,Tỉnh/thành,2020,Chính thức,24.6
Vĩnh Long,Tỉnh/thành,2021,Chính thức,15.93
Vĩnh Long,Tỉnh/thành,2022,Chính thức,177.74
Vĩnh Long,Tỉnh/thành,2023,Chính thức,146.31
Vĩnh Long,Tỉnh/thành,2024,Sơ bộ,177.4
Đồng Tháp,Tỉnh/thành,2015,Chính thức,27.6
Đồng Tháp,Tỉnh/thành,2016,Chính thức,33.1
Đồng Tháp,Tỉnh/thành,2017,Chính thức,36.2
Đồng Tháp,Tỉnh/thành,2018,Chính thức,39.7
Đồng Tháp,Tỉnh/thành,2019,Chính thức,43.7
Đồng Tháp,Tỉnh/thành,2020,Chính thức,16
Đồng Tháp,Tỉnh/thành,2021,Chính thức,8.51
Đồng Tháp,Tỉnh/thành,2022,Chính thức,23.81
Đồng Tháp,Tỉnh/thành,2023,Chính thức,102.37
Đồng Tháp,Tỉnh/thành,2024,Sơ bộ,134.3
An Giang,Tỉnh/thành,2015,Chính thức,26.3
An Giang,Tỉnh/thành,2016,Chính thức,35.5
An Giang,Tỉnh/thành,2017,Chính thức,37.6
An Giang,Tỉnh/thành,2018,Chính thức,42.8
An Giang,Tỉnh/thành,2019,Chính thức,47.3
An Giang,Tỉnh/thành,2020,Chính thức,15.8
An Giang,Tỉnh/thành,2021,Chính thức,8.57
An Giang,Tỉnh/thành,2022,Chính thức,134
An Giang,Tỉnh/thành,2023,Chính thức,211.74
An Giang,Tỉnh/thành,2024,Sơ bộ,238.61
Kiên Giang,Tỉnh/thành,2015,Chính thức,137.7
Kiên Giang,Tỉnh/thành,2016,Chính thức,239.6
Kiên Giang,Tỉnh/thành,2017,Chính thức,287.5
Kiên Giang,Tỉnh/thành,2018,Chính thức,316.5
Kiên Giang,Tỉnh/thành,2019,Chính thức,348.8
Kiên Giang,Tỉnh/thành,2020,Chính thức,186
Kiên Giang,Tỉnh/thành,2021,Chính thức,166.3
Kiên Giang,Tỉnh/thành,2022,Chính thức,874.26
Kiên Giang,Tỉnh/thành,2023,Chính thức,747.43
Kiên Giang,Tỉnh/thành,2024,Sơ bộ,761.04
Cần Thơ,Tỉnh/thành,2015,Chính thức,131.3
Cần Thơ,Tỉnh/thành,2016,Chính thức,153.6
Cần Thơ,Tỉnh/thành,2017,Chính thức,168.5
Cần Thơ,Tỉnh/thành,2018,Chính thức,189
Cần Thơ,Tỉnh/thành,2019,Chính thức,214.2
Cần Thơ,Tỉnh/thành,2020,Chính thức,64.3
Cần Thơ,Tỉnh/thành,2021,Chính thức,35.9
Cần Thơ,Tỉnh/thành,2022,Chính thức,331.88
Cần Thơ,Tỉnh/thành,2023,Chính thức,585.4
Cần Thơ,Tỉnh/thành,2024,Sơ bộ,764.09
Hậu Giang,Tỉnh/thành,2015,Chính thức,1.6
Hậu Giang,Tỉnh/thành,2016,Chính thức,1.2
Hậu Giang,Tỉnh/thành,2017,Chính thức,1.2
Hậu Giang,Tỉnh/thành,2018,Chính thức,0.02
Hậu Giang,Tỉnh/thành,2019,Chính thức,..
Hậu Giang,Tỉnh/thành,2020,Chính thức,..
Hậu Giang,Tỉnh/thành,2021,Chính thức,..
Hậu Giang,Tỉnh/thành,2022,Chính thức,0.54
Hậu Giang,Tỉnh/thành,2023,Chính thức,0.75
Hậu Giang,Tỉnh/thành,2024,Sơ bộ,0.23
Sóc Trăng,Tỉnh/thành,2015,Chính thức,0.8
Sóc Trăng,Tỉnh/thành,2016,Chính thức,8.2
Sóc Trăng,Tỉnh/thành,2017,Chính thức,9.1
Sóc Trăng,Tỉnh/thành,2018,Chính thức,10.2
Sóc Trăng,Tỉnh/thành,2019,Chính thức,11.4
Sóc Trăng,Tỉnh/thành,2020,Chính thức,7.8
Sóc Trăng,Tỉnh/thành,2021,Chính thức,3.68
Sóc Trăng,Tỉnh/thành,2022,Chính thức,21.91
Sóc Trăng,Tỉnh/thành,2023,Chính thức,35.61
Sóc Trăng,Tỉnh/thành,2024,Sơ bộ,35.71
Bạc Liêu,Tỉnh/thành,2015,Chính thức,..
Bạc Liêu,Tỉnh/thành,2016,Chính thức,3
Bạc Liêu,Tỉnh/thành,2017,Chính thức,3.4
Bạc Liêu,Tỉnh/thành,2018,Chính thức,4.4
Bạc Liêu,Tỉnh/thành,2019,Chính thức,5
Bạc Liêu,Tỉnh/thành,2020,Chính thức,4.4
Bạc Liêu,Tỉnh/thành,2021,Chính thức,2.33
Bạc Liêu,Tỉnh/thành,2022,Chính thức,13.43
Bạc Liêu,Tỉnh/thành,2023,Chính thức,23.41
Bạc Liêu,Tỉnh/thành,2024,Sơ bộ,39.04
Cà Mau,Tỉnh/thành,2015,Chính thức,13.7
Cà Mau,Tỉnh/thành,2016,Chính thức,15.8
Cà Mau,Tỉnh/thành,2017,Chính thức,16.8
Cà Mau,Tỉnh/thành,2018,Chính thức,17.7
Cà Mau,Tỉnh/thành,2019,Chính thức,20.5
Cà Mau,Tỉnh/thành,2020,Chính thức,22.6
Cà Mau,Tỉnh/thành,2021,Chính thức,11.45
Cà Mau,Tỉnh/thành,2022,Chính thức,29.3
Cà Mau,Tỉnh/thành,2023,Chính thức,44.55
Cà Mau,Tỉnh/thành,2024,Sơ bộ,55.85
